CODE,TITLE,DATE
GAM&BSHP:A,GAMBIT & BISHOP ALPHA,2001
GAM&BSHP:SOA,GAMBIT & BISHOP: SONS OF THE ATOM,2001
GAM&XT,GAMBIT & THE X-TERNALS,1995
GAMCC,GAMBIT CYBER COMIC,
GARG,GARGOYLE,1985
GAYC,GAY COMICS,1944-1949
GDOGS,GENE DOGS,1993-1994
GEN13/FF,GEN 13/FANTASTIC FOUR,2001
GENE,GENETIX,1993-1994
GENH,GENERATION HOPE,2011-2012
GENHEX,GENERATION HEX,1996
GENM,GENERATION M,2005-2006
GENNXT,GENERATION NEXT,1995
GENS:BH&TAH,GENERATIONS: BANNER HULK & TOTALLY AWESOME HULK,2017
GENS:CASW&CASR,GENERATIONS: CAPTAIN AMERICA SAM WILSON & CAPTAIN AMERICA STEVE ROGERS,2017
GENS:CM&CM,GENERATIONS: CAPTAIN MARVEL & CAPTAIN MAR-VELL,2017
GENS:HAWK&HAWK,GENERATIONS: HAWKEYE & HAWKEYE,2017
GENS:IM&IHRT,GENERATIONS: IRON MAN & IRONHEART,2017
GENS:MIMOSM&PPSM,GENERATIONS: MILES MORALES SPIDER-MAN & PETER PARKER SPIDER-MAN,2017
GENS:MSM&MSM,GENERATIONS: MS MARVEL & MS MARVEL,2017
GENS:PHX&JG,GENERATIONS: PHOENIX & JEAN GREY,2017
GENS:UNWT&MT,GENERATIONS: UNWORTHY THOR & MIGHTY THOR,2017
GENS:W&ANW,GENERATIONS: WOLVERINE & ALL NEW WOLVERINE,2017
GENX,GENERATION X,1994-2001
GENX2,GENERATION X VOL. 2,2017
GENX HSPEC,GENERATION X HOLIDAY SPECIAL,1998
GENX/D,GENERATION X/DRACULA,1998
GENX:OV,GENERATION X: OPENING VOLLEY,1994
GENXUND,GENERATION X UNDERGROUND SPECIAL,1998
GEORGIE&JUDYC,GEORGIE & JUDY COMICS,1949
GEORGIEC,GEORGIE COMICS,1945-1947
GG,GREEN GOBLIN,1995-1996
GIANT,GIANT-MAN,2019
GIRLC,GIRL COMICS,1949-1952
GIRLC2,GIRL COMICS VOL. 2,2010
GK,GET KRAVEN,2002-2003
GL2,GREEN LANTERN VOL. 2,1995-2015
GL/SS,GREEN LANTERN/SILVER SURFER,1995
GLA,GREAT LAKES AVENGERS,2005
GLA2,GREAT LAKES AVENGERS VOL. 2,2016-2017
GLCTS:DEV,GALACTUS: THE DEVOURER,1999-2000
GLX-MAS,GLX-MAS,2006
GODWHEEL,GODWHEEL,1995
GOI,GUARDIANS OF INFINITY,2016
GOKNWR,GUARDIANS OF KNOWHERE,2015
GOLDILUX,GOLDILUX (DRAGON'S CLAWS #6),1988
GORILLA-MAN,GORILLA-MAN,2010
GOTG,GUARDIANS OF THE GALAXY,1990-1995
GOTG2,GUARDIANS OF THE GALAXY VOL. 2,2008-2010
GOTG3,GUARDIANS OF THE GALAXY VOL. 3,2013-2015
GOTG4,GUARDIANS OF THE GALAXY VOL. 4,2015-2017
GOTG4 1.MU,GUARDIANS OF THE GALAXY VOL. 4 1.MU,2017
GOTG&X:BVA,GUARDIANS OF THE GALAXY & X-MEN: THE BLACK VORTEX ALPHA,2015
GOTG&X:BVO,GUARDIANS OF THE GALAXY & X-MEN: THE BLACK VORTEX OMEGA,2015
GOTG:DO,GUARDIANS OF THE GALAXY: DREAM ON,2017
GOTG:ME,GUARDIANS OF THE GALAXY: MOTHER ENTROPY,2017
GOTG:TA,GUARDIANS OF THE GALAXY: TOMORROW'S AVENGERS,2013
GP HSPEC,GWENPOOL HOLIDAY SPECIAL: MERRY MIX-UP,2017
GP SPEC,GWENPOOL SPECIAL,2016
GR,GHOST RIDER,1967
GR2,GHOST RIDER VOL. 2,1973-1983
GR3,GHOST RIDER VOL. 3,1990-1998
GR4,GHOST RIDER VOL. 4,2001-2002
GR5,GHOST RIDER VOL. 5,2005-2006
GR6,GHOST RIDER VOL. 6,2006-2009
GR7,GHOST RIDER VOL. 7,2011-2012
GR8,GHOST RIDER VOL. 8,2017
GR/BALLISTIC,GHOST RIDER/BALLISTIC,1997
GR/CA:FEAR,GHOST RIDER/CAPTAIN AMERICA: FEAR,1992
GR/W/P:DD,GHOST RIDER/WOLVERINE/PUNISHER: DARK DESIGN,1994
GR/W/P:HOD,GHOST RIDER/WOLVERINE/PUNISHER: HEARTS OF DARKNESS,1991
GR:DK,GHOST RIDER: DANNY KETCH,2008-2009
GR:TT,GHOST RIDER: TRAIL OF TEARS,2007
GR2099,GHOST RIDER 2099,1994-1996
GRAVITY,GRAVITY,2005
GRCRS,GHOST RACERS,2015
GROOT,GROOT,2015-2016
GRS:C,GHOST RIDERS: CROSSROADS,1995
GRS:HOF,GHOST RIDERS: HEAVEN'S ON FIRE,2009-2010
GSA,GIANT-SIZE AVENGERS,1974-1975
GSA2,GIANT-SIZE AVENGERS VOL. 2,2008
GSASTONX,GIANT-SIZE ASTONISHING X-MEN,2008
GSCH,GIANT-SIZE CHILLERS,1974
GSCO,GIANT-SIZE CONAN,1974-1975
GSCR,GIANT-SIZE CREATURES,1974
GSD,GIANT-SIZE DRACULA,1974-1975
GSDEF,GIANT-SIZE DEFENDERS,1974-1975
GSFF,GIANT-SIZE FANTASTIC FOUR,1974-1975
GSFREEX,GIANT-SIZE FREEX,1994
GSH2,GIANT-SIZE HULK VOL. 2,2006
GSIH,GIANT-SIZE INCREDIBLE HULK,2008
GSINV,GIANT-SIZE INVADERS,1975-2005
GSKC,GIANT-SIZE KID COLT,1975
GSLM/:AVX,GIANT-SIZE LITTLE MARVEL: AVX,2015
GSM-T,GIANT-SIZE MAN-THING,1974-1975
GSMANTRA,GIANT-SIZE MANTRA,1994
GSMM/SPIDEY,GIANT-SIZE MINI-MARVELS STARRING SPIDEY,2002
GSMOKF,GIANT-SIZE MASTER OF KUNG FU,1974-1975
GSMSM,GIANT-SIZE MS. MARVEL,2006
GSPRO,GIANT-SIZE PROTOTYPE,1994
GSRUNE,GIANT-SIZE RUNE,1995
GSS-H,GIANT-SIZE SUPER-HEROES,1974
GSSM,GIANT-SIZE SPIDER-MAN,1974-1975
GSSS,GIANT-SIZE SUPER-STARS,1974
GSSVTU,GIANT-SIZE SUPER-VILLAIN TEAM-UP,1975
GSSW,GIANT-SIZE SPIDER-WOMAN,2005
GSW,GIANT-SIZE WOLVERINE,2006
GSWBN,GIANT-SIZE WEREWOLF BY NIGHT,1974-1975
GSWRATH,GIANT-SIZE WRATH,1994
GSWSTRK,GIANT-SIZE WARSTRIKE,1994
GSX,GIANT-SIZE X-MEN,1975-2005
GTU,GUARDIANS TEAM-UP,2015
GUN,GUNHAWKS,1972-1973
GUNR,GUN RUNNER,1993-1994
GZILL,GODZILLA,1977-1979
H,HULK,1999-2000
H2,HULK VOL. 2,2008-2012
H3,HULK VOL. 3,2014-2015
H4,HULK VOL. 4,2017
H&PP,HULK AND POWER PACK,2007
H/TG:HK,HULK/THING: HARD KNOCKS,2004-2005
H/W:6H,HULK/WOLVERINE: SIX HOURS,2003
H:BW,HULK: BROKEN WORLDS,2009
H:FIMP,HULK: FUTURE IMPERFECT,1992-1993
H:GRAY,HULK: GRAY,2003-2004
H:LBB,HULK: LET THE BATTLE BEGIN,2010
H:NM,HULK: NIGHTMERICA,2003-2004
H:RT,HULK: RAGING THUNDER,2008
H:WG,HULK: WINTER GUARD,2010
H-M,HIT-MONKEY,2010
H-M2,HIT-MONKEY VOL. 2,2010
H2099,HULK 2099,1994-1995
HAGE:POP,HEROIC AGE: PRINCE OF POWER,2010
HANGEL,HELL'S ANGEL,1992
HARD,HARDCASE,1993-1995
HARD ASH,HARDCASE ASHCAN,1993
HAWK,HAWKEYE,1983
HAWK2,HAWKEYE VOL. 2,1994
HAWK3,HAWKEYE VOL. 3,2003-2004
HAWK4,HAWKEYE VOL. 4,2012-2015
HAWK5,HAWKEYE VOL. 5,2017-2018
HAWK&MOCK,HAWKEYE & MOCKINGBIRD,2010-2011
HAWK:BS,HAWKEYE: BLINDSPOT,2011
HAWK:EMM,HAWKEYE: EARTH'S MIGHTIEST MARKSMAN,1998
HAWKV.DP,HAWKEYE VS. DEADPOOL,2014-2015
HC,HULK COMIC (British Comic),1979-1980
HCAT,HELLCAT,2000
HCSHIELD,HOWLING COMMANDOS OF S.H.I.E.L.D.,2015-2016
HEDYDVC,HEDY DE VINE COMICS,1947-1949
HEDYOH,HEDY OF HOLLYWOOD,1950-1952
HEDYW,HEDY WOLFE,1957
HELL:PL,HELLSTORM: PRINCE OF LIES,1993-1994
HERALDS,HERALDS,2010
HERC,HERC,2011-2012
HF:GG,HULK FAMILY: GREEN GENES,2009
HFH,HEROES FOR HIRE,1997-1999
HFH2,HEROES FOR HIRE VOL. 2,2006-2007
HFH3,HEROES FOR HIRE VOL. 3,2011
HFH/QS,HEROES FOR HIRE/QUICKSILVER,1998
HFHOPE,HEROES FOR HOPE,1985
HFLY,HUMAN FLY,1977-1979
HFW,HUNT FOR WOLVERINE,2018
HFW:AA,HUNT FOR WOLVERINE: ADAMANTIUM AGENDA,2018
HFW:CK,HUNT FOR WOLVERINE: CLAWS OF A KILLER,2018
HFW:DE,HUNT FOR WOLVERINE: DEAD ENDS,2018
HFW:MM,HUNT FOR WOLVERINE: MYSTERY IN MADRIPOOR,2018
HFW:WL,HUNT FOR WOLVERINE: WEAPON LOST,2018
HHYDRA,HAIL HYDRA,2015-2016
HJAOHYDRA,"HANK JOHNSON, AGENT OF HYDRA",2015
HM-S,HULK MONSTER-SIZE,2008
HMAG,HULK MAGAZINE,1978-1981
HNT,HIGH NOON TEX,
HOH2,HAUNT OF HORROR VOL. 2 (MAGAZINE),1974-1975
HOHEM,HOUSE OF HEM,2015
HOM,HOUSE OF M,2005
HOM2,HOUSE OF M VOL. 2,2015
HOM:A,HOUSE OF M: AVENGERS,2008
HOM:CW,HOUSE OF M: CIVIL WAR,2008-2009
HOM:DA,HOUSE OF M: DAY AFTER,2006
HOM:MOE,HOUSE OF M: MASTERS OF EVIL,2009-2010
HOOD,HOOD,2002
HOUTH,HULKED OUT HEROES,2010
HR,HEROES REBORN,1996
HR:ASHEMA,HEROES REBORN: ASHEMA,2000
HR:DOOM,HEROES REBORN: DOOM,2000
HR:DOOMSDAY,HEROES REBORN: DOOMSDAY,2000
HR:MOE,HEROES REBORN: MASTERS OF EVIL,2000
HR:R,HEROES REBORN: RETURN,1997
HR:REBEL,HEROES REBORN: REBEL,2000
HR:REMNANTS,HEROES REBORN: REMNANTS,2000
HR:YALLIES,HEROES REBORN: YOUNG ALLIES,2000
HRC,HERCULES,1982
HRC2,HERCULES VOL. 2,1984
HRC3,HERCULES VOL. 3,2005
HRC4,HERCULES VOL. 4,2016
HRC:FA,HERCULES: FALL OF AN AVENGER,2010
HRC:HOC,HERCULES: HEART OF CHAOS,1997
HRC:TOG,HERCULES: TWILIGHT OF A GOD,2010
HSMASH,HULK SMASH,2001
HSMASHA,HULK SMASH AVENGERS,2012
HT2,HUMAN TORCH VOL. 2,2003-2004
HTC,HUMAN TORCH COMICS,1940-1954
HTC70A,HUMAN TORCH COMICS 70TH ANNIVERSARY SPECIAL,2009
HTD,HOWARD THE DUCK,1976-1986
HTD2,HOWARD THE DUCK VOL. 2,2002
HTD3,HOWARD THE DUCK VOL. 3,2007-2008
HTD4,HOWARD THE DUCK VOL. 4,2015
HTD5,HOWARD THE DUCK VOL. 5,2016
HTD HSPEC,HOWARD THE DUCK HOLIDAY SPECIAL,1997
HTD MAG,HOWARD THE DUCK (MAGAZINE),1979-1981
HTH,HOWARD THE HUMAN,2015
HTU,HULK TEAM-UP,2009
HUNGER,HUNGER,2013
HVRNS,HULKVERINES!,2019
HV.FFF,HULK VS. FIN FANG FOOM,2008
HV.HRC:WTC,HULK VS. HERCULES: WHEN TITANS COLLIDE,2008
HVK&W:M,HAVOK & WOLVERINE: MELTDOWN,1988-1989
HVK&W:M TPB,HAVOK & WOLVERINE: MELTDOWN TRADE PAPERBACK,1990
HWEENSPEC DIG,HALLOWEEN SPECIAL ISSUE DIGITAL COMIC,2008
HYP,HYPERION,2016
I♥M/:AI,I ♥ MARVEL: AI,2006
I♥M/:MI,I ♥ MARVEL: MASKED INTENTIONS,2006
I♥M/:MMH,I ♥ MARVEL: MY MUTANT HEART,2006
I♥M/:OL,I ♥ MARVEL: OUTLAW LOVE,2006
I♥M/:WOR,I ♥ MARVEL: WEB OF ROMANCE,2006
IA,INFINITY ABYSS,2002
IAAA,I AM AN AVENGER,2010-2011
IAGE,IRON AGE,2011
IAGE:A,IRON AGE: ALPHA,2011
IAGE:O,IRON AGE: OMEGA,2011
IC,INFINITY CRUSADE,1993
ICDWN,INFINITY COUNTDOWN,2018
ICDWN:AWLOCK,INFINITY COUNTDOWN: ADAM WARLOCK,2018
ICDWN:BW,INFINITY COUNTDOWN: BLACK WIDOW,2018
ICDWN:CHMPS,INFINITY COUNTDOWN: CHAMPIONS,2018
ICDWN:CM,INFINITY COUNTDOWN: CAPTAIN MARVEL,2018
ICDWN:DD,INFINITY COUNTDOWN: DAREDEVIL,2018
ICDWN:DHAWK,INFINITY COUNTDOWN: DARKHAWK,2018
ICDWNP,INFINITY COUNTDOWN PRIME,2018
ICE,ICEMAN,1984-1985
ICE2,ICEMAN VOL. 2,2001-2002
ICE3,ICEMAN VOL. 3,2017-2018
ICE4,ICEMAN VOL. 4,2018-2019
IDDISC,IDENTITY DISC,2004
IDEAL,IDEAL,1948-1949
IDEALC,IDEAL COMICS,1944-1946
IDH,INCOMPLETE DEATH'S HEAD,1993
IF,IRON FIST,1975-1977
IF2,IRON FIST VOL. 2,1996
IF3,IRON FIST VOL. 3,1998
IF4,IRON FIST VOL. 4,2004
IF5,IRON FIST VOL. 5,2017
IF/W,IRON FIST/WOLVERINE,2000-2001
IF:LW,IRON FIST: LIVING WEAPON,2014-2015
IG,INFINITY GAUNTLET,1991
IG2,INFINITY GAUNTLET VOL. 2,2015-2016
IGROOT,I AM GROOT,2017
IGUARD,IMPERIAL GUARD,1997
IH,INCREDIBLE HULK,1962-1963
IH2,INCREDIBLE HULK VOL. 2,"1968-1999, 2009-2010"
IH3,INCREDIBLE HULK VOL. 3,2000-2008
IH4,INCREDIBLE HULK VOL. 4,2011-2012
IH/SUB,INCREDIBLE HULK/SUB-MARINER,1998
IH:HRCU,INCREDIBLE HULK: HERCULES UNLEASHED,1996
IHRC,INCREDIBLE HERCULES,2008-2010
IHRT,IRONHEART,2019-2020
IHS,INCREDIBLE HULKS,2010-2011
IHS:ENIGFOR,INCREDIBLE HULKS: ENIGMA FORCE,2010-2011
IHV.V,INCREDIBLE HULK VS. VENOM,1994
IIF,IMMORTAL IRON FIST,2007-2009
IIF:DQOC,IMMORTAL IRON FIST: ORSON RANDALL AND THE DEATH QUEEN OF CALIFORNIA,2008
IIF:GMOD,IMMORTAL IRON FIST: ORSON RANDALL AND THE GREEN MIST OF DEATH,2008
IIF:ODANNY,IMMORTAL IRON FIST: ORIGIN OF DANNY RAND,2008
IIM,INVINCIBLE IRON MAN,2008-2011
IIM2,INVINCIBLE IRON MAN VOL. 2,2015-2016
IIM3,INVINCIBLE IRON MAN VOL. 3,2017
IL,IRON LANTERN,1996
ILLUM,ILLUMINATI,2016
IM,IRON MAN,"1968-1996, 2011-2012"
IM2,IRON MAN VOL. 2,1996
IM3,IRON MAN VOL. 3,1998-2004
IM4,IRON MAN VOL. 4,2005-2007
IM5,IRON MAN VOL. 5,2013-2014
IM5 20.INH,IRON MAN VOL. 5 20.INH,2014
IM SPEC,IRON MAN SPECIAL,2014
IM&PP,IRON MAN & POWER PACK,2008
IM&SUB,IRON MAN & SUB-MARINER,1968
IM/CA,IRON MAN/CAPTAIN AMERICA,1998
IM/CA:COW,IRON MAN/CAPTAIN AMERICA: CASUALTIES OF WAR,2007
IM/T,IRON MAN/THOR,2011
IM:BB,IRON MAN: BAD BLOOD,2000
IM:DOS,IRON MAN: DIRECTOR OF S.H.I.E.L.D.,2007-2009
IM:EM,IRON MAN: ENTER THE MANDARIN,2007-2008
IM:FTLFRONT,IRON MAN: FATAL FRONTIER HC,2014
IM:HOM,IRON MAN: HOUSE OF M,2005
IM:HYPER,IRON MAN: HYPERVELOCITY,2007
IM:IA,IRON MAN: IRON AGE,1998
IM:INEV,IRON MAN: INEVITABLE,2006
IM:IP,IRON MAN: IRON PROTOCOLS,2009
IM:K&K,IRON MAN: KISS & KILL,2010
IM:LEG,IRON MAN: LEGACY,2010-2011
IM:LOD,IRON MAN: LEGACY OF DOOM,2008
IM:REQ,IRON MAN: REQUIEM,2009
IM:T,IRON MAN: TITANIUM,2010
IM2.0,IRON MAN 2.0,2011-2012
IM2020,IRON MAN 2020,1994
IMMH,IMMORTAL HULK,2018-2021
IMMH:BD,IMMORTAL HULK: THE BEST DEFENSE,2019
IMNOIR,IRON MAN NOIR,2010
IMPMSUMV,IMPOSSIBLE MAN SUMMER VACATION SPECTACULAR,1990-1991
IMV.WL,IRON MAN VS. WHIPLASH,2010
INDH,INDESTRUCTIBLE HULK,2013-2014
INDH SPEC,INDESTRUCTIBLE HULK SPECIAL,2013
INDIM,INDOMITABLE IRON MAN,2010
INFERNALM-T,INFERNAL MAN-THING,2012
INFERNO,INFERNO,2015
INFIM,INFAMOUS IRON MAN,2016-2017
INFINITY,INFINITY,2013
INFINITY HC,INFINITY HC,2014
INFINITY:HEIST,INFINITY: THE HEIST,2013-2014
INFINITY:HUNT,INFINITY: THE HUNT,2013-2014
INH,INHUMAN,2014-2015
INH SPEC,INHUMAN SPECIAL,2015
INHS,INHUMANS,1975-1977
INHS2,INHUMANS VOL. 2,1998-1999
INHS3,INHUMANS VOL. 3,2000
INHS4,INHUMANS VOL. 4,2003-2004
INHS:ATNR,INHUMANS: ATTILAN RISING,2015
INHS:GR,INHUMANS: GREAT REFUGE,1995
INHS:JD,INHUMANS: JUDGEMENT DAY,2018
INHS:OAFK,INHUMANS: ONCE AND FUTURE KINGS,2017-2018
INHS:US,INHUMANS: UNTOLD SAGA,1990
INHSPRIME,INHUMANS PRIME,2017
INHY,INHUMANITY,2014
INHY:A,INHUMANITY: THE AWAKENING,2014
INHY:SUSM,INHUMANITY: SUPERIOR SPIDER-MAN,2014
INTIM,INTERNATIONAL IRON MAN,2016
INV,INVADERS,1975-1979
INV2,INVADERS VOL. 2,1993
INV3,INVADERS VOL. 3,2019-2020
INVN,INVADERS NOW!,2010-2011
IP,IRON PATRIOT,2014
IRONMEN,IRON MEN,2001
IRRANT,IRREDEEMABLE ANT-MAN,2006-2007
IVX,IVX,2017
IW,INFINITY WAR,1992
IWARS,INFINITY WARS,2018-2019
IWARS ∞,INFINITY WARS: INFINITY,2019
IWARS:ARAK,INFINITY WARS: ARACHKNIGHT,2018-2019
IWARS:FG,INFINITY WARS: FALLEN GUARDIAN,2019
IWARS:GP,INFINITY WARS: GHOST PANTHER,2019
IWARS:IHMR,INFINITY WARS: IRON HAMMER,2018
IWARS:IWARPS,INFINITY WARS: INFINITY WARPS,2019
IWARS:SLEEP,INFINITY WARS: SLEEPWALKER,2018-2019
IWARS:SOLS,INFINITY WARS: SOLDIER SUPREME,2018
IWARS:WHEX,INFINITY WARS: WEAPON HEX,2018-2019
IWARSP,INFINITY WARS PRIME,2018
IWEAP,IMMORTAL WEAPONS,2009-2010
J2,J2,1998-1999
JA,JUNGLE ACTION,1954-1955
JA2,JUNGLE ACTION VOL. 2,1972-1976
JANNJ,JANN OF THE JUNGLE,1955-1957
JEANIEC,JEANIE COMICS,1947-1949
JG,JEAN GREY,2017-2018
JIM,JOURNEY INTO MYSTERY,"1952-1966, 1996-1998"
JIM:KRAKOA,JOURNEY INTO MYSTERY: BIRTH OF KRAKOA,2018
JIUW,JOURNEY INTO UNKNOWN WORLDS,1951-1957
JJ,JESSICA JONES,2016-2018
JLA/A,JLA/AVENGERS,2003-2004
JLX,JLX,1996
JLXU,JLX UNLEASHED,1996
JOH,JACK OF HEARTS,1984
JOKERC,JOKER COMICS,1942-1950
JRMISS2,JUNIOR MISS VOL. 2,1947-1950
JT,JUNGLE TALES,1954-1955
JUB,JUBILEE,2004-2005
JUG,JUGGERNAUT,1997
JUG:ED,JUGGERNAUT: EIGHTH DAY,1999
JUST,JUSTICE,1986-1989
JUST:4B,JUSTICE: FOUR BALANCE,1994
JUSTC,JUSTICE COMICS,1947-1949
K2,KINGPIN VOL. 2,2017
KARNAK,KARNAK,2015-2017
KBSS,KENT BLAKE OF THE SECRET SERVICE,1951-1953
KC,KID COLT,1948-1949
KC2,KID COLT VOL. 2,2009
KCO,KING CONAN,1980-1983
KCOL,KID COLT OUTLAW,1948-1979
KI,KICKERS INC.,1986-1987
KIDK,KID KOMICS,1943-1946
KILLR,KILLRAVEN,2001
KISSNATION,KISSNATION,1997
KLAWS,KLAWS OF THE PANTHER,2010-2011
KOP,KNIGHTS OF PENDRAGON,1990-1991
KOP2,KNIGHTS OF PENDRAGON VOL. 2,1992-1993
KP:EY,KILLPOWER: EARLY YEARS,1993
KPRY&W,KITTY PRYDE & WOLVERINE,1984-1985
KPRY:S&F,KITTY PRYDE: SHADOW & FLAME,2005
KPRYAOS,"KITTY PRYDE, AGENT OF S.H.I.E.L.D.",1997-1998
KRAZYK2,KRAZY KOMICS VOL. 2,1948
KS,KORVAK SAGA,2015
KSC,KING-SIZE CABLE,2008
KSH,KING-SIZE HULK,2008
KULLB,KULL AND THE BARBARIANS,1975
KULLC,KULL THE CONQUEROR,1971-1973
KULLC2,KULL THE CONQUEROR VOL. 2,1982-1983
KULLC3,KULL THE CONQUEROR VOL. 3,1983-1985
KULLD,KULL THE DESTROYER,1973-1978
KZ,KA-ZAR,1970-1971
KZ2,KA-ZAR VOL. 2 (LORD OF THE HIDDEN JUNGLE),1974-1977
KZ3,KA-ZAR VOL. 3,1997-1998
KZ4,KA-ZAR VOL. 4,2011
KZSAV,KA-ZAR THE SAVAGE,1981-1984
KZSL,KA-ZAR OF THE SAVAGE LAND,1997
L,LOGAN,2008
L&TDH,LIFE & TIMES OF DEATH'S HEAD TPB,1990
L:PW,LOGAN: PATH OF THE WARLORD,1996
L:SS,LOGAN: SHADOW SOCIETY,1996
LADYDP,LADY DEADPOOL,2010
LANA,LANA,1948-1949
LASTDEF,LAST DEFENDERS,2008
LBRKRAL,LAWBREAKERS ALWAYS LOSE!,1948-1949
LC,LUKE CAGE,2017-2018
LCHFH,"LUKE CAGE, HERO FOR HIRE",1972-1973
LCNOIR,LUKE CAGE NOIR,2009-2010
LCSN,"LINDA CARTER, STUDENT NURSE",1961-1963
LDCLW,LEGENDS OF THE DARK CLAW,1996
LEGION,LEGION,2018
LFSM,LETHAL FOES OF SPIDER-MAN,1993
LHS,LAST HERO STANDING,2005
LIGHTNINGC,LIGHTNING COMICS,1940-1941
LIGHTNINGC2,LIGHTNING COMICS VOL. 2,1941
LIGHTNINGC3,LIGHTNING COMICS VOL. 3,1942
LJAW,LOCKJAW,2018
LJAW&PETA,LOCKJAW & THE PET AVENGERS,2009
LJAW&PETAU,LOCKJAW & THE PET AVENGERS UNLEASHED,2010
LLIZZIE,LITTLE LIZZIE,1949-1950
LOBOTD,LOBO THE DUCK,1996
LOCM,LIFE OF CAPTAIN MARVEL,2018-2019
LOKI:AOA,LOKI: AGENT OF ASGARD,2014-2015
LOM,LEGION OF MONSTERS (MAGAZINE),1977
LOM2,LEGION OF MONSTERS VOL. 2,2011-2012
LOM:M-T,LEGION OF MONSTERS: MAN-THING,2007
LOM:MORB,LEGION OF MONSTERS: MORBIUS,2007
LOM:SAT,LEGION OF MONSTERS: SATANA,2007
LOM:WBN,LEGION OF MONSTERS: WEREWOLF BY NIGHT,2007
LON,LEGION OF NIGHT,1991
LONERS,LONERS,2007-2008
LORNAJG,LORNA THE JUNGLE GIRL,1954-1957
LORNAJQ,LORNA THE JUNGLE QUEEN,1953-1954
LPS,LAST PLANET STANDING,2006
LPUMP,LORD PUMPKIN,1994
LPUMP/NMANTRA,LORD PUMPKIN/NECROMANTRA,1995
LRUN,LOGAN'S RUN,1977
LSLORD,LEGENDARY STAR-LORD,2014-2015
LSHOT,LONGSHOT,1985-1986
LSHOT2,LONGSHOT VOL. 2,1998
LSHOTSM/U,LONGSHOT SAVES THE MARVEL UNIVERSE,2014
LUNATIK,LUNATIK,1995-1996
LW,LIVEWIRES,2005
M,MAGNETO,1996-1997
M2,MAGNETO VOL. 2,2011
M3,MAGNETO VOL. 3,2014-2015
M&MAGM,MAGNETO AND HIS MAGNETIC MEN,1996
M/,MARVEL,2020
M/:LEG,MARVEL: LEGACY,2017
M/:LG,MARVEL: LOST GENERATION,2000-2001
M/2IO,MARVEL 2-IN-ONE,2018-2019
M/ADVA,MARVEL ADVENTURES: AVENGERS,2006-2009
M/ADVSM,MARVEL ADVENTURES SPIDER-MAN,2005-2010
M/AGE,MARVEL AGE,1983-1994
M/APES,MARVEL APES,2008
M/APES DIG,MARVEL APES DIGITAL COMIC,
M/APES:ASM,MARVEL APES: AMAZING SPIDER-MONKEY,2009
M/APES:ESH,MARVEL APES: EVOLUTION STARTS HERE TPB,2009
M/APES:GL,MARVEL APES: GRUNT LINE,2009
M/APES:SB,MARVEL APES: SPEEDBALL,2009
M/ASS,MARVEL ASSISTANT-SIZED SPECTACULAR,2009
M/C,MARVEL COMICS,1939
M/CC,MARVEL CLASSICS COMICS,1976-1978
M/CE,MARVEL COLLECTOR'S EDITION,1992
M/CHL,MARVEL CHILLERS,1975-1976
M/CP,MARVEL COMICS PRESENTS,1988-1995
M/CP2,MARVEL COMICS PRESENTS VOL. 2,2007-2008
M/CP3,MARVEL COMICS PRESENTS VOL. 3,2019
M/DF:A,MARVEL DOUBLE FEATURE: AVENGERS,1994-1995
M/DF:TSTRK,MARVEL DOUBLE FEATURE: THUNDERSTRIKE,1994-1995
M/DIGHOL,MARVEL DIGITAL HOLIDAY SPECIAL,
M/DIVAS,MARVEL DIVAS,2009
M/DS,MARVEL DOUBLE SHOT,2003
M/EUR,MARVEL EUROPA TPB,2003
M/FAN,MARVEL FANFARE,1982-1992
M/FAN2,MARVEL FANFARE VOL. 2,1996-1997
M/FEA,MARVEL FEATURE,1971-1973
M/FEA2,MARVEL FEATURE VOL. 2,1973-1977
M/FRONTC SPEC,MARVEL FRONTIER COMICS SPECIAL,1994
M/GN,MARVEL GRAPHIC NOVEL,1982-1985
M/GN:AGENT,"MARVEL GRAPHIC NOVEL: RICK MASON, THE AGENT",1989
M/GN:ASMH,MARVEL GRAPHIC NOVEL: AMAZING SPIDER-MAN IN HOOKY,1985
M/GN:ASMPL,"MARVEL GRAPHIC NOVEL: AMAZING SPIDER-MAN, PARALLEL LIVES",1989
M/GN:CAD,MARVEL GRAPHIC NOVEL: CLOAK AND DAGGER,1988
M/GN:CAD/PP,MARVEL GRAPHIC NOVEL: CLOAK AND DAGGER AND POWER PACK: SHELTER FROM THE STORM,1989
M/GN:COBSOS,MARVEL GRAPHIC NOVEL: CONAN THE BARBARIAN IN THE SKULL OF SET,1989
M/GN:COISLES,MARVEL GRAPHIC NOVEL: CONAN OF THE ISLES,1988
M/GN:COR,MARVEL GRAPHIC NOVEL: CONAN THE REAVER,1987
M/GN:DD,MARVEL GRAPHIC NOVEL: DAREDEVIL,1986
M/GN:DS,MARVEL GRAPHIC NOVEL: DOCTOR STRANGE INTO SHAMBALLA,1986
M/GN:DS&DOOM,MARVEL GRAPHIC NOVEL: DOCTOR STRANGE AND DOCTOR DOOM: TRIUMPH AND TORMENT,1989
M/GN:EDOOM,MARVEL GRAPHIC NOVEL: EMPEROR DOOM,1987
M/GN:HRCPOPFC,"MARVEL GRAPHIC NOVEL: HERCULES, PRINCE OF POWER: FULL CIRCLE",1988
